
2024/11/01 (00:29:40) | ===> btop++ v.1.4.0
2024/11/01 (00:29:40) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/01 (00:30:16) | ===> btop++ v.1.4.0
2024/11/01 (00:30:16) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/05 (01:15:29) | ===> btop++ v.1.4.0
2024/11/05 (01:15:29) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/05 (17:41:33) | ===> btop++ v.1.4.0
2024/11/05 (17:41:33) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/06 (22:13:03) | ===> btop++ v.1.4.0
2024/11/06 (22:13:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/06 (23:55:41) | ===> btop++ v.1.4.0
2024/11/06 (23:55:41) | WARNING: Intel GPU: Failed to initialize PMU
2024/11/07 (00:22:05) | ERROR: Stall in Runner thread, restarting!

2024/11/07 (02:06:38) | ===> btop++ v.1.4.0
2024/11/07 (02:06:38) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/07 (03:37:41) | ===> btop++ v.1.4.0
2024/11/07 (03:37:41) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/08 (17:13:11) | ===> btop++ v.1.4.0
2024/11/08 (17:13:11) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/08 (17:50:39) | ===> btop++ v.1.4.0
2024/11/08 (17:50:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/08 (17:50:49) | ===> btop++ v.1.4.0
2024/11/08 (17:50:49) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/08 (17:53:17) | ===> btop++ v.1.4.0
2024/11/08 (17:53:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/08 (17:53:47) | ===> btop++ v.1.4.0
2024/11/08 (17:53:47) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/08 (17:54:22) | ===> btop++ v.1.4.0
2024/11/08 (17:54:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/09 (17:03:35) | ===> btop++ v.1.4.0
2024/11/09 (17:03:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/09 (20:04:43) | ===> btop++ v.1.4.0
2024/11/09 (20:04:43) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/09 (20:05:02) | ===> btop++ v.1.4.0
2024/11/09 (20:05:02) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/12 (20:31:56) | ===> btop++ v.1.4.0
2024/11/12 (20:31:56) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/12 (20:33:03) | ===> btop++ v.1.4.0
2024/11/12 (20:33:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/13 (03:21:41) | ===> btop++ v.1.4.0
2024/11/13 (03:21:41) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/15 (15:09:06) | ===> btop++ v.1.4.0
2024/11/15 (15:09:06) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/15 (15:16:53) | ===> btop++ v.1.4.0
2024/11/15 (15:16:53) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/15 (15:35:08) | ===> btop++ v.1.4.0
2024/11/15 (15:35:08) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/15 (15:35:39) | ===> btop++ v.1.4.0
2024/11/15 (15:35:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/15 (15:40:14) | ===> btop++ v.1.4.0
2024/11/15 (15:40:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/15 (15:40:44) | ===> btop++ v.1.4.0
2024/11/15 (15:40:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/15 (15:41:55) | ===> btop++ v.1.4.0
2024/11/15 (15:41:55) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/15 (15:56:49) | ===> btop++ v.1.4.0
2024/11/15 (15:56:49) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/15 (15:59:34) | ===> btop++ v.1.4.0
2024/11/15 (15:59:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/15 (15:59:48) | ===> btop++ v.1.4.0
2024/11/15 (15:59:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/15 (16:30:11) | ===> btop++ v.1.4.0
2024/11/15 (16:30:11) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/15 (16:35:53) | ===> btop++ v.1.4.0
2024/11/15 (16:35:53) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/15 (16:48:43) | ===> btop++ v.1.4.0
2024/11/15 (16:48:43) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/15 (16:51:36) | ===> btop++ v.1.4.0
2024/11/15 (16:51:36) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/17 (10:29:14) | ===> btop++ v.1.4.0
2024/11/17 (10:29:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/23 (11:52:57) | ===> btop++ v.1.4.0
2024/11/23 (11:52:57) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/29 (17:22:34) | ===> btop++ v.1.4.0
2024/11/29 (17:22:34) | WARNING: Intel GPU: Failed to initialize PMU
